"title","artist","album","genre","duration","file_size","file_mime","file_path","cover_image","lyrics","lyrics_type","released_date","is_vip","status","listens","mood_tags","activity_tags","topic_tags"
"Nếu một mai tôi có bay lên trời","Hứa Kim Tuyền",,"Ballad","269","4315889","audio/mpeg","songs/custom/059_neu_mot_mai_toi_co_bay_len_troi.mp3","covers/songs/custom/059_neu_mot_mai_toi_co_bay_len_troi.jpg","""… Nhắm mắt thấy tôi quay về
Về với bữa cơm nhà, mà bao lâu tôi bỏ qua
… Nhắm mắt thấy ba mẹ ngồi
Bên đứa em thơ dại, nhìn lại năm tháng qua
… Tôi học cách yêu thương người khác tôi
Và bao dung cho người ghét tôi
Tôi học cách xua đau thương bằng nụ cười
Và bằng niềm tin ở con người
… Nếu một mai tôi có bay lên trời
Thì người ơi, tôi đã sống rất thảnh thơi
Nếu một mai tôi có đi qua đời
Thì người ơi, tôi đã sống rất tuyệt vời
… Tôi học cách yêu thương người khác tôi
Và bao dung cho người ghét tôi
Tôi học cách xua đau thương bằng nụ cười
Và bằng niềm tin ở con người
… Nếu một mai tôi có bay lên trời
Thì người ơi, tôi đã sống rất thảnh thơi
Nếu một mai tôi có đi qua đời
Thì người ơi, tôi đã sống rất tuyệt vời
… La là la, lá la la là
Người ơi, tôi đã sống rất thảnh thơi
La là la, lá la la là
Người ơi, tôi đã sống rất tuyệt vời
… Nếu một mai tôi có bay lên trời
Thì người ơi, tôi đã sống rất thảnh thơi
Nếu một mai tôi có đi qua đời
Thì người ơi, tôi đã sống rất tuyệt vời
… La là là la la, la la lá la, lá la la là
Người ơi, tôi đã sống rất thảnh thơi
La là là la la, la la lá la, lá la la là
Người ơi, tôi đã sống rất tuyệt vời
… Người ơi, tôi đã sống rất tuyệt vời
Thì ngày mai xin hãy tiễn bằng nụ cười""","plain","2020-03-20","0","published","456547","buon;tam-trang","thu-gian","cuoc-song"
"Lớn rồi còn khóc nhè","Trúc Nhân",,"pop","303","4853803","audio/mpeg","songs/custom/060_lon_roi_con_khoc_nhe.mp3","covers/songs/custom/060_lon_roi_con_khoc_nhe.jpg","""Ngày thơ bé có cánh đồng, trưa nắng bên bờ sông
Thời tôi chưa biết vâng lời, chỉ biết chơi và cười
Lời mẹ nói không nghe, cho rằng luôn khắt khe
Mẹ nói, ""Con trai đừng khóc nhè!""
Ngu ngơ chạy theo đám bạn tôi đàn ca
Ấy thế mà khiếu văn nghệ nhất nhà
Bạn bè cố bao che, câu nào cũng dễ nghe
Nó nói hay hơn lời của mẹ
Tôi ôm đàn và hát
Đi xa cùng bè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về
Tôi ôm đàn và hát
Đi xa cùng bè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về
Rồi tôi xơ xác đi nhiều khi mới quen người yêu
Thời tôi mới biết đi làm, em cứ hay càm ràm
Người yêu nói tôi nghe tuy lời hơi khó nghe
Em nói hay hơn lời của mẹ
Thấm thoát lại thấy tôi chẳng thiếu điều chi
Lắm lúc lại thấy tôi chẳng có gì
Phải chăng lớn khôn hơn hay càng ngu ngốc hơn?
Tôi muốn nghe thêm lời của mẹ
Tôi ôm đàn và hát
Đi xa cùng bè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về
Tôi ôm đàn và hát
Đi xa cùng bè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về
Giờ tôi nhớ những cánh đồng, trưa nắng bên bờ sông
Giờ tôi mới biết vâng lời, thương lắm khi mẹ cười
Giờ tôi muốn lắng nghe, cho dù lời khắt khe
Không biết bao lâu còn có mẹ?
Ngày thơ bé ngu ngơ ai chẳng hay khóc nhè
Nay lớn, cớ sao lại khóc nhè?""","plain","2019-04-10","1","published","5678","vui-ve;tam-trang","lam-viec","gia-dinh"
"Ước mơ của mẹ","Văn Mai Hương",,"Ballad","430","6880905","audio/mpeg","songs/custom/061_uoc_mo_cua_me.mp3","covers/songs/custom/061_uoc_mo_cua_me.jpg","""Con hỏi ước mơ của mẹ thế nào
Đã quá lâu chẳng còn ai hỏi mẹ như thế
Suýt chút nữa mẹ cũng quên mình từng thế nào
Cũng có ước mơ mơ được sống cuộc đời riêng mình
Khi còn bé mẹ ước sau này lớn lên
Mẹ sẽ tung bay đi khắp chân trời nhân thế
Rồi bỗng nhiên một ngày trong mẹ có con
Ước muốn khi xưa đã hoá ra con từ bao giờ
Mẹ cũng quên dần quên ước mơ của mẹ là gì
Mẹ vẫn đang bận lo làm sao có một bữa cơm no
Ngoài kia thế giới bao la rộng lớn
Còn thế giới của mẹ chính là con
Là niềm vui của con là ngôi nhà là gia đình
Vài năm trước mẹ vẫn thấy con đùa vui trước sân
Thế mà giờ đây con lớn nhanh sau ngần năm ấy
Rồi con cũng có ước mơ riêng mình
Và con cũng cố gắng theo hết mình
Con ơi hãy ước mơ thay phần mẹ
Mẹ cũng quên dần quên ước mơ của mẹ là gì
Mẹ vẫn đang bận lo làm sao có một bữa cơm no
Ngoài kia thế giới bao la rộng lớn
Còn thế giới của mẹ chính là con
Là niềm vui của con là ngôi nhà là gia đình
Mẹ cũng quên dần quên ước mơ của mẹ là gì
Mẹ vẫn đang bận lo làm sao có một bữa cơm no
Ngoài kia thế giới bao la rộng lớn
Còn thế giới của mẹ chính là con
Là niềm vui của con là ngôi nhà là gia đình
Ước muốn khi xưa mẹ cất lại như một kỷ niệm""","plain","2022-01-15","0","published","6765","buon;lang-man","thu-gian","gia-dinh"
"Cha già rồi đúng không","Anh Tú",,"Ballad","318","5102906","audio/mpeg","songs/custom/062_cha_gia_roi_dung_khong.mp3","covers/songs/custom/062_cha_gia_roi_dung_khong.jpg",,"plain","2021-03-10","0","published","45654","buon;tam-trang","thu-gian","gia-dinh"
"Sao cha không","Phan Mạnh Quỳnh",,"pop","285","4572098","audio/mpeg","songs/custom/063_sao_cha_khong.mp3","covers/songs/custom/063_sao_cha_khong.jpg","""Cha đứng với con nhìn phố xa xa
Dặn con ra sao cứ luôn mỉm cười
Như cách cha giấu mệt mỏi ngày dài
Khi trở về nhà vẫn ắp niềm vui
Cha nói với con phải vững tin lên
Đừng bao giờ quên giấc mơ của mình
Tuổi thơ của con có cha đồng hành là điều vô giá
Ngày con thêm lớn khôn
Cảm nhận thêm rõ hơn cuộc đời
Con biết cha đã thăng trầm
Con biết cha còn muôn lời thầm lặng
Vì sao cha ơi
Chẳng kể con nghe điều cha tiếc nuối
Từ lâu chôn giấu
Khi đã phải quên đam mê đời mình
Để con no ấm cha chật vật mưu sinh
Vượt qua sóng gió lời cha dẫn bước
Mở rộng tim con bao dung như cha
Trong đêm đau thương vẫn yêu cuộc đời
Vẹn nguyên mơ ước như ánh sao trời
Nhưng sao không nói cùng con cha ơi
Khi những cánh chim mùa cũ bay qua
Càng mang nhiều hơn bóng mây tuổi già
Tại sao cha không thảnh thơi nhàn hạ
Nhận về muộn phiền không nói được ra
Con đứng với cha một quãng xuân xanh
Niềm tin về cha chẳng bao giờ ngừng
Nhưng sao bao nhiêu điều cha chịu đựng
Con không được biết
Thời gian trôi quá nhanh
Chẳng một ai sống hơn một lần
Khi đã quen với thăng trầm
Con biết cha có viết thương trong tim
Vì sao cha ơi
Chẳng kể con nghe điều cha tiếc nuối
Từ lâu chôn giấu
Khi đã phải quên đam mê đời mình
Để con no ấm cha chật vật mưu sinh
Vượt qua sóng gió lời cha dẫn bước
Mở rộng tim con bao dung như cha
Trong đêm đau thương vẫn yêu cuộc đời
Chỉ nhiều tiếc nuối khi ngước lên cao
Sao cha không ở cùng con lâu hơn
Không ở lâu hơn
Con cứ tin con đã luôn hiểu hết về cha
Nhưng không phải
Vì sao cha ơi
Chẳng kể con nghe
Điều cha tiếc nuối từ lâu chôn giấu
Khi đã phải quên đam mê đời mình
Để con no ấm cha chật vật mưu sinh
Vượt qua sóng gió lời cha dẫn bước
Mở rộng tim con bao dung như cha
Trong đêm đau thương vẫn yêu cuộc đời
Chỉ nhiều tiếc nuối khi ngước lên cao (khi ngước lên cao)
Sao cha không ở cùng con lâu hơn""","plain","2021-03-15","0","published","67865","buon;tam-trang","lam-viec","gia-dinh"
"Điều cha chưa nói","Ali Hoàng Dương",,"Ballad","300",,,"songs/custom/064_dieu_cha_chua_noi.mp3","covers/songs/custom/064_dieu_cha_chua_noi.jpg","""Cha thường kể nhiều lắm về thời niên thiếu
Cha hay đạp xe mỗi sáng cóc cách tới trường
Ngay khu phố trước nhà
Có cụ già bán bánh thơm lừng
Những chiếc bánh bao tròn ấm áp khói bay
Khói bay tóc cha trắng con dần khôn lớn
Da nhăn đôi tay xạm nắng thấy cha già hơn
Nhưng những lúc tan trường
Chiếc xe đạp cha đón bên đường
Những năm tháng tươi đẹp của tuổi thanh xuân
Cha già rồi đúng không mắt kém tay chân thì run
Cha già rồi đúng không con xin lỗi cha con thật vô tâm
Cả cuộc đời của cha
Chỉ sống hi sinh cho mỗi niềm vui của các con thôi
Thử hỏi cuộc đời còn có bao nhiêu lần mười năm nữa oh-oh
Hah ah ah ah ah
Hah ah ah ah
Hmm uhm-uhm
Ah uhm uhm uhm uhm uhm
Khói bay tóc cha trắng coon dần khôn lớn
Da nhăn đôi tay xạm nắng thấy cha già hơn
Nhưng những lúc tan trường
Chiếc xe đạp cha đón bên đường
Những năm tháng tươi đẹp của tuổi thanh xuân
Cha già rồi đúng không mắt kém tay chân thì run
Cha già rồi đúng không con xin lỗi cha con thật vô tâm
Cả cuộc đời của cha
Chỉ sống hi sinh cho mỗi niềm vui của các con thôi
Thử hỏi cuộc đời còn có bao nhiêu lần mười năm nữa
Cha kể con nghe
Cha già rồi đúng không mắt kém tay chân thì run
Cha già rồi đúng không con xin lỗi cha con quá vô tâm
Cả cuộc đời của cha
Chỉ sống hi sinh cho mỗi niềm vui của các con thôi
Thử hỏi cuộc đời còn có bao nhiêu lần
Con kể cha nghe""","plain","2021-03-05","0","published","12324","buon;tam-trang","thu-gian","gia-dinh"
"Sau lời từ khước","Phan Mạnh Quỳnh",,"Ballad","262","4197189","audio/mpeg","songs/custom/065_sau_loi_tu_khuoc.mp3","covers/songs/custom/065_sau_loi_tu_khuoc.jpg","""Chăn mền tôi đắp vẫn còn vương vấn cũ
Sau làn da thắm, vết thương chưa dứt đủ
Thế nên mình đến lúc này
Biết đâu là quá ngây dại?
Những lời yêu dấu thốt ra ru êm tôi
Cung đàn anh tấu khẽ lay tim bồi hồi
Tôi thấy quên ngày tháng nhạt nhoà
Và tôi đã mơ chuyện của chúng ta
Nhiều lần bên nhau lúc hẹn hò
Còn vài niềm riêng, bối rối đầy gượng gạo
Tự dày vò không ngơi bao đêm thâu
Giờ tôi muốn anh hiểu hết tâm tình, để lòng tôi lắng yên
Mình à, sao đôi ta
Lại chẳng xuất phát đi chung một chuyến ga đời?
Đã lỡ viết trước câu chuyện yêu không vui
Thứ lỗi cho tôi không thể đợi lúc gặp người
Đành hẹn nơi khác nhé
Đừng buồn, ôi yêu thương ơi
Vì mình mang đến cho tôi hạnh phúc thật nhiều
Sẽ dõi ánh mắt trông theo từ xa
Mong sao tháng năm mang tôi đi khỏi nỗi khắc khoải tiếc thương khi bỏ lỡ danh phận
Sau lời từ khước, tôi về như lúc trước
Không còn chung bước
Chỉ có thêm đôi vết xước in vào hình hài cuộc đời (hình hài)
Nhiều khi tôi không thể nói điều này đúng hay sai
Tôi lại gai góc
Giấu đi ưu tư để ngăn mình bật khóc
Những chuyện đã qua sao phải giữ trong lòng chi nữa?
Chắc tôi khiến cho chính tôi cứ thêm đớn đau đấy thôi
Mình à, sao đôi ta
Lại chẳng xuất phát đi chung một chuyến ga đời?
Đã lỡ viết trước câu chuyện yêu không vui
Thứ lỗi cho tôi không thể đợi lúc gặp người
Đành hẹn nơi khác nhé
Đừng buồn, ôi yêu thương ơi
Vì mình mang đến cho tôi hạnh phúc thật nhiều
Sẽ dõi ánh mắt trông theo từ xa
Mong sao tháng năm mang tôi đi khỏi nỗi khắc khoải tiếc thương khi bỏ lỡ danh phận
Mình à, sao đôi ta (sao đôi ta)
Lại chẳng xuất phát đi chung một chuyến ga đời? (oh oh)
Đã lỡ viết trước câu chuyện yêu không vui (yêu không vui)
Thứ lỗi cho tôi không thể đợi lúc gặp người
Đành hẹn nơi khác nhé
Đừng buồn, ôi yêu thương ơi
Vì mình mang đến cho tôi hạnh phúc thật nhiều (phúc)
Sẽ dõi ánh mắt trông theo từ xa
Mong sao tháng năm mang tôi đi khỏi nỗi khắc khoải tiếc thương khi bỏ lỡ danh phận""","plain","2024-02-14","1","published","5656","buon;tam-trang","hoc-tap","chia-tay"
"Nhật kí của mẹ","Hiền Thục",,"pop","480",,,"songs/custom/066_nhat_ki_cua_me.mp3","covers/songs/custom/066_nhat_ki_cua_me.jpg","""Bao ngày mẹ ngóng bao ngày mẹ trông
Bao ngày mẹ mong con chào đời
Ấp trong đáy lòng có chăng tiếng cười
Của một hài nhi đang lớn dần
Mẹ chợt tỉnh giấc và mẹ nhìn thấy
Hình hài nhỏ bé như thiên thần
Tiếng con khóc oà mắt mẹ lệ nhoà
Cám ơn vì con đến bên mẹ
Này con yêu ơi con biết không
Mẹ yêu con yêu con nhất đời
Ngắm con ngoan nằm trong nôi
Mắt xoe tròn ôi bé cưng
Nhìn cha con cha đang rất vui
Giọt nước mắt lăn trên khoé môi
Con hãy nhìn kìa cha đang khóc vì con
Một ngày tỉnh giấc rồi mẹ chợt nghe
Vụng về con nói câu mẹ ơi
Chiếc môi bé nhỏ thốt lên bất ngờ
Khiến tim mẹ vui như vỡ oà
Đây là mặt đất đây là trời cao
Đây là nơi đã sinh ra con
Bước chân bé nhỏ bước đi theo cha
Dấu chân đầu tiên trên đường đời
Này con yêu ơi con biết không
Mẹ yêu con yêu con biết bao
Hãy cứ đi mẹ bên con
Dõi theo con từng bước chân
Ngày mai sau khi con lớn khôn
Đường đời không như con ước mơ
Hãy đứng lên và vững bước trên đường xa
Ngày đầu đến lớp mẹ cùng con đi
Ngập ngừng con bước sau lưng mẹ
Tiếng ve cuối hè hát vang đón chào
Ánh mặt trời soi con đến trường
Ngày ngày đến lớp dần dần con quen
Bạn bè thầy cô yêu thương con
Bé con của mẹ vẫn luôn chăm ngoan
Khiến cho mẹ vui mãi trong lòng
Này con yêu ơi con biết không
Mẹ yêu con yêu con rất nhiều
Những khuya ôn bài con thức
Xót xa tim mẹ biết bao
Từng kỳ thi nối tiếp nhau (vội đi qua)
Tuổi thơ con trôi qua rất mau
Ước chi con mẹ mai sau sẽ thành công
Một ngày mẹ thấy con cười vu vơ
Nụ hồng con giấu trong ngăn bàn
Lá thư viết vội có tên rất lạ
Chắc là người con thương rất nhiều
Một ngày mẹ thấy con buồn vu vơ
Cành hồng vẫn ở trong ngăn bàn
Lá đâu đã vàng hoa đâu đã tàn
Cớ sao nhìn con úa thu sang
Này con yêu ơi con biết không
Mẹ yêu con yêu con rất nhiều (yêu con rất nhiều)
Những kỷ niệm lần đầu yêu
Suốt một đời đâu dễ quên
Vầng trăng kia sẽ sưởi ấm con
Và sau cơn mưa nắng sẽ trong
Sẽ có một người yêu con hơn mẹ yêu
Một ngày con lớn một ngày con khôn (ngày con lớn ngày con khôn)
Một ngày con phải đi xa mẹ
Bước chân vững vàng khó khăn chẳng màng
Biển rộng trời cao con vẫy vùng
Một ngày chợt nắng một ngày chợt mưa
Lòng mẹ chợt nhớ con vô bờ
Nhớ sao dáng hình nhớ sao nụ cười
Nhớ con từng giây phút cuộc đời
Này con yêu ơi con biết không
Mẹ yêu con yêu con nhất đời
Ở nơi phương trời xa xôi
Hãy yên tâm mẹ vẫn vui
Từng dòng thư ôm bao nhớ thương
Mẹ nhờ mây mang trao đến con
Chúc con yêu được hạnh phúc mãi bình an
Bao ngày mẹ ngóng bao ngày mẹ trông
Bao ngày mẹ mong con quay về
Ấp trong giấc mộng nhớ bao tháng ngày
Bé con hồn nhiên bên dáng mẹ
Mẹ chợt tỉnh giấc và mẹ nhìn thấy
Con mẹ vẫn bé như thiên thần
Thấy con khóc oà mắt mẹ lệ nhoà
Cám ơn vì con đến bên mẹ
Thấy con khóc oà mắt mẹ lệ nhoà
Cám ơn vì con đến bên mẹ
Cám ơn vì con đến bên mẹ""","plain","2011-01-01","0","published","34546","lang-man;thu-gian","thu-gian","gia-dinh"
"Phép màu","Nguyễn Hùng",,"pop","257","4113179","audio/mpeg","songs/custom/067_phep_mau.mp3","covers/songs/custom/067_phep_mau.jpg","""Ngày thay đêm, vội trôi giấc mơ êm đềm

Tôi lênh đênh trên biển vắng

Hoàng hôn chờ em chưa buông nắng

Đừng tìm nhau

Vào hôm gió mưa tơi bời

Sợ lời sắp nói vỡ tan thương đau

Hẹn kiếp sau có nhau trọn đời

 

[Chorus]

Liệu người có còn ở đây với tôi thật lâu

Ngày rộng tháng dài sợ mai không còn thấy nhau

Ngày em đến áng mây xanh thêm

Ngày em đi nắng vương cuối thềm

Thiếu em tôi sợ bơ vơ, vắng em như tàn cơn mơ

Chẳng phải phép màu vậy sao chúng ta gặp nhau

Một người khẽ cười, người kia cũng dịu nỗi đau

Gọi tôi thức giấc cơn ngủ mê

Dìu tôi đi lúc quên lối về

Quãng đời mai sau luôn cạnh nhau

 

[Verse 2]

Rồi ngày mai

Còn ai với ai ở lại

Vẫn căng buồm ra khơi

Theo làn gió mới

Vì biết đâu mọi thứ chưa bắt đầu

 

[Chorus]

Liệu người có còn ở đây với tôi thật lâu

Ngày rộng tháng dài sợ mai không còn thấy nhau

Ngày em đến áng mây xanh thêm

Ngày em đi nắng vương cuối thềm

Thiếu em tôi sợ bơ vơ, vắng em như tàn cơn mơ

Chẳng phải phép màu vậy sao chúng ta gặp nhau

Một người khẽ cười, người kia cũng dịu nỗi đau

Gọi tôi thức giấc cơn ngủ mê

Dìu tôi đi lúc quên lối về

Quãng đời thanh xuân, sao em cho tôi giữ lấy, giữ lấy

(Qua bao khổ đau, vẫn bên cạnh nhau)

 

[Guitar Solo]

 

[Chorus]

Chẳng phải phép màu vậy sao chúng ta gặp nhau

Một người khẽ cười, người kia cũng dịu nỗi đau

Gọi tôi thức giấc cơn ngủ mê

Dìu tôi đi lúc quên lối về

Quãng đời mai sau luôn cạnh nhau

Quãng đời mai sau luôn cạnh nhau""","plain","2023-01-01","0","published","456767","vui-ve;energetic","chay-bo","cuoc-song"
"Cảm ơn và xin lỗi","Chillies",,"pop","316","5071559","audio/mpeg","songs/custom/068_cam_on_va_xin_loi.mp3","covers/songs/custom/068_cam_on_va_xin_loi.jpg","""Đôi tim ngân nhiều câu xót xa
Hai ta mong chờ đêm thứ tha
Theo chân ta hàng vạn những nghĩ suy mang về đây
Để được thấy người vẫn nhớ tôi một ngày
Đêm mang em về trong giấc mơ
Tôi hát lên trăm lời vu vơ
Vẫn những khuôn mặt cười dù biết sẽ không hề vui
Dù hôm nay dẫu đúng sai vẫn yêu hơn ngày mai
Xin lỗi người vì những điều chưa nói ra thành câu
Xin lỗi người vì bao ngày qua đã trôi về đâu
Mất bao lâu để ta tạm quên u sầu để tim này vơi cơn đau
Và nhứng ký ức mệt nhoài chợt tan vào sớm mai
Cảm ơn người vì luôn cạnh bên sẻ chia buồn vui
Cảm ơn người vì đôi bàn tay không đành buông xuôi
Nước mắt nào rồi cũng sẽ trôi rất nhanh về nơi ấm êm vô cùng
Ta xin để lại nụ hôn một lần với ai
Đêm mang em về trong giấc mơ
Tôi hát lên trăm lời vu vơ
Vẫn nhưng khuôn mặt cười dù biết sẽ không hề vui
Dù hôm nay dẫu đúng sai vẫn yêu hơn ngày mai
Xin lỗi người vì nhưng điều chưa nói ra thành câu
Xin lỗi người vì bao ngày qua đã trôi về đâu
Mất bao lâu để ta tạm quên u sầu để tim này vơi cơn đau
Và những ký ức mệt nhoài chợt tan vào sớm mai
Cảm ơn người vì luôn cạnh bên sẽ chia buồn vui
Cảm ơn người vì đôi bàn tay không đành buông xuôi
Nước mắt nào rồi cũng sẽ trôi rất nhanh về nơi ấm êm vô cùng
Ta xin để lại nụ hôn một lần với ai
Xin lỗi người vì những điều chưa nói ra thành câu
Xin lỗi người vì bao ngày qua đã trôi về đâu
Mất bao lâu để ta tạm quên u sầu để tim này vơi cơn đau
Và những ký ức mệt nhoài chợt tan vào sớm mai
Cảm ơn người vì luôn cạnh bên sẽ chia buồn vui
Cảm ơn người vì đôi bàn tay không đành buông xuôi
Nước mắt nào rồi cũng sẽ trôi rất nhanh về nơi ấm êm vô cùng
Ta xin để lại nụ hôn một lần với ai
Ta xin để lại nụ hôn một lần với ai""","plain","2019-12-10","0","published","456557","buon;tam-trang","lam-viec","ky-uc"
"Ngày hạnh phúc","Đan Trường",,"pop","217","3474955","audio/mpeg","songs/custom/069_ngay_hanh_phuc.mp3","covers/songs/custom/069_ngay_hanh_phuc.jpg","""Bao nhiêu hân hoan em với anh,
Tay đan trong tay vui hát ca.
Một ngày đẹp trời cùng bên nhau,
Hôm nay em vui như lá hoa,
Xôn xao xôn xao trong nắng mai.
Một ngày ngọt ngào dành cho anh,
Ôi tình yêu cho anh một thiên đường!
Ôi tình yêu đưa anh vào hạnh phúc!
Em và anh yêu thương và hy vọng,
Yêu nồng say bên nhau tình yêu ngất ngây.
Ngày vui hạnh phúc có em và có anh,
Bên nhau ta ước thề.
Mãi yêu và yêu mãi,
Yêu thương trọn muôn đời.
Ngày vui hạnh phúc có em và có anh,
Bên nhau ta ước thề.
Mãi yêu và yêu mãi,
Yêu thương trọn muôn đời.""","plain","2005-01-01","0","published","7878987","vui-ve;lang-man","tiec-tung","tinh-yeu"
"Tình khúc vàng","Đan Trường",,"pop","327","5243341","audio/mpeg","songs/custom/070_tinh_khuc_vang.mp3","covers/songs/custom/070_tinh_khuc_vang.jpg","""Anh nghe mùi hương trên tóc quen nồng nàn
Anh nghe tình em nghe tình em chứa chan
Anh nghe bàn tay trong bàn tay nhẹ nhàng,
với người đời hé môi cười....

Anh nghe niềm vui trên phố đông rộn ràng,
Aanh nghe tình yêu bên tình yêu hát vang
Anh nghe bờ vai bên bờ vai dịu dàng,
ngỡ ngàng cùng ánh chiều sang.

ĐK :

Oh, oh.....Ngồi bên em cung đàn hát lên tình khúc vàng
Bao nhiêu âu lo đời vụt tan
Ngày mai xa nhau rồi, phút giây còn muôn lời
Em ơi, bao nhiêu điều chưa nói ?!
Nhớ từng hàng cây,
nhớ từng con phố bước theo em bâng khuâng hỡi tình say.
Nhớ về dòng sông, ấm lòng màu đông
Nụ hôn ta chơi vơi theo con sóng....
Gửi tình vào mây, gửi tình vào gió
Có xa nhau xin đừng là tàn tro
Muốn là dòng sông, lững lờ mùa đông
Ôm em trong giấc mơ tình khúc vàng""","plain","2003-05-15","1","published","567657","lang-man;vui-ve","lai-xe","tinh-yeu"
"Đám cưới trên đường quê","Tường Nguyên",,"pop","341","5456500","audio/mpeg","songs/custom/071_dam_cuoi_tren_duong_que.mp3","covers/songs/custom/071_dam_cuoi_tren_duong_que.jpg","""O ! o ! sang hom nay tren que huong toi,
Que huong xinh xinh que huong huu tinh,
Que huong xinh xinh que huong hoa binh,
Duong no hoa trang, xanh, vang, tim,
Dep lam sao buom bay chap chon.
Dan chim non veo von ngon tre,
Khan mau son, ao mau vang,
Oi, ba con den xem mua cuoi !
Chan hai cong, tay du hong.
Lau that lau moi thay duoc mot ngay vui !

O ! o ! sang hom nay que toi ra xem
Co dau con con y trang my mieu.
Co dau non non dung nhan man ma.
Cha ! nha ai co ong re quy.
Cha ! nha ai co co dau hien.
O ! ngo thay co con lon quay,
Xoi day mam, cau day buong.
Day nguon vui hiem hoi ngay cuoi.
Trong that hay, trong buon cuoi.
Ra ma xem moi thay duoc ca niem vui !

Anh anh oi ! Nguoi tinh toi oi !
Anh anh oi ! Xem nguoi ta ho cuoi nhau roi !
Em em oi ! Nguoi tinh toi oi !
Em em oi ! Chuyen chung minh da tinh sao chua ?
Anh anh oi ! Nguoi tinh toi oi !
Anh anh oi ! Xem nguoi ta ho cuoi nhau roi !
Em em oi ! Nguoi tinh toi oi !
Em em oi ! Chuyen chung minh cung tinh di thoi !""","plain","2010-01-01","0","published","567654","vui-ve;hao-hung","tiec-tung","que-huong"
"Thuyền hoa","Quang Linh",,"pop","323","5170198","audio/mpeg","songs/custom/072_thuyen_hoa.mp3","covers/songs/custom/072_thuyen_hoa.jpg","""Thuyền em đi trên sông trăng sáng
Cưới nhau về ta rước hội vui
Trên sông dài thuyền hoa giăng
Bao cô nàng miệng cười xinh xắn.
Thuyền em trôi vào ánh sáng
Ánh sáng hồng tươi những đèn hoa
Với bao màu xanh ngát hồn ta
Thuyền em trôi vào đêm vui.
Ơi... ơi ơi... hò khoan ơi hò khoan
Tiếng hát em vang cả giòng sông
Giòng sông xanh, xanh lên tình người
Giòng sông xanh, xanh lên ước mơ
Thuyền em trôi về bến mới
Bến yên lành xuôi mái chèo vui
Bến thanh bình ta sống thảnh thơi.
Làng quê ta hôm nay vui quá
Rước em về trên chiếc thuyền hoa
Chân mang giầy đầu che khăn
Đôi môi hồng miệng cười tươi tắn...
Chợ quê xưa thành phố mới
Rước em về con nước mừng vui
Rước em về cho bến nghỉ ngơi
Thuyền hoa ơi dừng đây thôi...""","plain","2000-01-01","0","published","4676","vui-ve;hao-hung","tiec-tung","que-huong"
"Nhất trần đời","Hoài Linh",,"pop","369","5905806","audio/mpeg","songs/custom/073_nhat_tran_doi.mp3","covers/songs/custom/073_nhat_tran_doi.jpg","""Nhất trai làng anh công tử hào hoa
Nhất gái quê em khuê các con nhà
Tròn đôi tám nàng là bông bưởi trắng
Tròn đôi chín chàng mô-đen rất lẳng
Đôi trai tài gái sắc kém chi ai
Đôi trai tài gái sắc kém chi ai
Anh nhất làng trong
Còn em nhất làng ngoài.
Tiếng vang đồn anh công tử giàu sang
Tiếng cũng vang em cô út hột xoàn
Nhà anh có ruộng cò bay thẳng cánh
Nhà em có vườn trái cây rất bảnh
Đôi trai tài gái sắc kém chi ai
Dân trong làng mong đám cưới lai rai
Trai thếch bò dê
Còn gái thếch lợn gà.
[ĐK:]
A...Trai tài gái sắc
Trai tài gái sắc đám cưới thật là vui ghê
Trăm thuyền đuôi tôm
Năm mươi giò lái rước dâu rộn ràng
A...Tưng bừng pháo nổ
Bia rượu cũng nổ tiếng trống nhạc vang lên
Ăn mừng uyên ương
500 con gà trống
600 con vịt cồ.
Nhất trai làng anh công tử chịu chơi
Nhất gái quê em tươi mát trên đời
Nhà anh có ruộng vườn trâu bò lắm
Thì đâu xá chuyện tốn hao vất vả
Năm trăng mật đi khắp thế gian chơi
Sau trăng mật ta vẫn cứ rong chơi
Anh nhất hành tinh
Còn em nhất trần đời.""","plain","2015-01-01","0","published","56755","vui-ve;energetic","tiec-tung","cuoc-song"
